block_number,experimental_condition,condition_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F6,RAT,R8,No Response,90,huis,14.2617635,4,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
1,F,F12,Insight,I2,incorrect,75.1721347,lucht,32.0052315,4,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
1,F,F1,RAT,R11,incorrect,59.2437904,weegschaal,14.8335587,5,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
1,F,F11,RAT,R9,correct,83.7861546,brood,6.5398023,3,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F10,RAT,R4,incorrect,59.1807587,water,7.4058212,2,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F5,Insight,I7,incorrect,56.4753948,Als het water ijs is,58.1031139,4,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F7,Insight,I10,incorrect,57.4685765,"DE ZANDLOPER VAN 11 MINUTEN VOLLEDIG LATEN DOORLOPEN , EN DAARNA DE HELFT VAN DIE VAN 7 , EN DAN TOT 30 TELLEN ;)",109.8615532,2,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
2,F,F2,RAT,R7,incorrect,73.7100822,HUIS,18.7016312,4,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
3,F,F8,Insight,I11,incorrect,62.1621535,LIFT,27.8221806,4,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
3,F,F9,RAT,R5,correct,56.7282149,WATER,17.7841684,4,20,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9
